studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9192,1991-11-03,TOR,1,143
PAL9192,1991-11-03,TOR,2,65
PAL9192,1991-11-03,TOR,3,25
PAL9192,1991-11-03,TOR,4,306
PAL9192,1991-11-03,TOR,5,134
PAL9192,1991-11-03,TOR,6,144
PAL9192,1991-11-03,TOR,12,220
PAL9192,1991-11-03,TOR,13,282
PAL9192,1991-11-03,TOR,15,165
PAL9192,1991-11-03,TOR,17,25
PAL9192,1991-11-03,TOR,18,290
PAL9192,1991-11-03,TOR,19,460
PAL9192,1991-11-03,TOR,20,243
PAL9192,1991-11-03,TOR,21,153
PAL9192,1991-11-03,TOR,22,121
PAL9192,1991-11-03,TOR,23,211
PAL9192,1991-11-03,TOR,23.1,29
PAL9192,1991-12-03,CHR,1,207
PAL9192,1991-12-03,CHR,2,182
PAL9192,1991-12-03,CHR,3,152
PAL9192,1991-12-03,CHR,3.1,0
PAL9192,1991-12-03,CHR,4.1,20
PAL9192,1991-12-03,CHR,4.2,0
PAL9192,1991-12-03,CHR,5,26
PAL9192,1991-12-03,CHR,6,119
PAL9192,1991-12-03,CHR,7,317
PAL9192,1991-12-03,CHR,7.1,26
PAL9192,1991-12-03,CHR,7.2,65
PAL9192,1991-12-03,CHR,8,166
PAL9192,1991-12-03,CHR,9.1,115
PAL9192,1991-12-03,CHR,10,15
PAL9192,1991-12-03,COR,1,7
PAL9192,1991-12-03,COR,2,79
PAL9192,1991-12-03,COR,3,36
PAL9192,1991-12-03,COR,4,18
PAL9192,1991-12-03,COR,5,309
PAL9192,1991-12-03,COR,5.1,137
PAL9192,1991-12-03,COR,6,95
PAL9192,1991-12-03,HUM,1.1,22
PAL9192,1991-12-03,HUM,1.2,31
PAL9192,1991-12-03,HUM,1.3,14
PAL9192,1991-12-03,HUM,2.1,130
PAL9192,1991-12-03,HUM,2.2,64
PAL9192,1991-12-03,HUM,3,289
PAL9192,1991-12-03,HUM,3.1,66
PAL9192,1991-12-03,HUM,4,104
PAL9192,1991-12-03,HUM,5,365
PAL9192,1991-12-07,LIT,1,15
PAL9192,1991-12-07,LIT,2,34
PAL9192,1991-12-07,LIT,3,7
PAL9192,1991-12-07,LIT,4,29
PAL9192,1991-12-07,LIT,5,83
PAL9192,1991-12-07,LIT,6,130
PAL9192,1991-12-07,LIT,7,64
PAL9192,1991-12-07,LIT,8,109
PAL9192,1991-12-07,LIT,9,26
PAL9293,1992-11-24,CHR,1,207
PAL9293,1992-11-24,CHR,2,63
PAL9293,1992-11-24,CHR,3,157
PAL9293,1992-11-24,CHR,3.1,0
PAL9293,1992-11-24,CHR,4.1,21
PAL9293,1992-11-24,CHR,4.2,0
PAL9293,1992-11-24,CHR,5,33
PAL9293,1992-11-24,CHR,6,109
PAL9293,1992-11-24,CHR,7,333
PAL9293,1992-11-24,CHR,7.1,25
PAL9293,1992-11-24,CHR,7.2,66
PAL9293,1992-11-24,CHR,8,162
