studyName,"Date GMT",Island,Colony,"Nests in Sample","Nests with One Chick","Nests with Two Chicks","Nests with Eggs"
PAL9192,1992-01-09,CHR,1,100,33,67,0
PAL9192,1992-01-09,CHR,2,56,18,38,0
PAL9192,1992-01-09,CHR,3,122,27,95,3
PAL9192,1992-01-09,CHR,3.1,0,0,0,0
PAL9192,1992-01-09,CHR,4.1,15,4,11,0
PAL9192,1992-01-09,CHR,4.2,0,0,0,0
PAL9192,1992-01-09,CHR,5,18,3,15,0
PAL9192,1992-01-09,CHR,6,100,23,77,6
PAL9192,1992-01-09,CHR,7.1,25,11,14,0
PAL9192,1992-01-09,CHR,7.2,0,0,0,0
PAL9192,1992-01-09,CHR,8,100,25,75,0
PAL9192,1992-01-09,CHR,9.1,48,18,20,0
PAL9192,1992-01-09,CHR,10,11,10,1,1
PAL9192,1992-01-09,COR,1,2,0,2,1
PAL9192,1992-01-09,COR,2,68,15,53,3
PAL9192,1992-01-09,COR,3,30,9,21,0
PAL9192,1992-01-09,COR,4,17,6,11,0
PAL9192,1992-01-09,COR,5,100,22,78,12
PAL9192,1992-01-09,COR,5.1,100,20,80,8
PAL9192,1992-01-09,COR,6,80,20,60,3
PAL9192,1992-01-09,HUM,1.1,13,5,8,1
PAL9192,1992-01-09,HUM,1.2,24,8,16,0
PAL9192,1992-01-09,HUM,1.3,6,4,2,0
PAL9192,1992-01-09,HUM,2.1,108,31,77,0
PAL9192,1992-01-09,HUM,2.2,57,10,47,3
PAL9192,1992-01-09,HUM,3,100,18,82,0
PAL9192,1992-01-09,HUM,3.1,64,17,47,0
PAL9192,1992-01-09,HUM,4,97,20,77,0
PAL9192,1992-01-09,HUM,5,100,18,82,0
PAL9192,1992-01-09,LIT,1,9,6,3,0
PAL9192,1992-01-09,LIT,2,21,9,12,0
PAL9192,1992-01-09,LIT,4,22,9,13,0
PAL9192,1992-01-09,LIT,5,72,31,41,0
PAL9192,1992-01-09,LIT,6,85,47,53,0
PAL9192,1992-01-09,LIT,7,46,17,29,0
PAL9192,1992-01-09,LIT,8,92,37,55,0
PAL9192,1992-01-09,LIT,9,21,6,15,0
PAL9192,1992-01-09,TOR,1,100,33,67,3
PAL9192,1992-01-09,TOR,2,47,10,37,0
PAL9192,1992-01-09,TOR,3,20,11,9,0
PAL9192,1992-01-09,TOR,4,100,24,76,0
PAL9192,1992-01-09,TOR,5,84,29,55,0
PAL9192,1992-01-09,TOR,12,0,0,0,0
PAL9192,1992-01-09,TOR,12,100,38,62,4
PAL9192,1992-01-09,TOR,13,100,25,75,0
PAL9192,1992-01-09,TOR,17,18,10,8,1
PAL9192,1992-01-09,TOR,20,100,21,79,0
PAL9192,1992-01-09,TOR,21,114,30,84,6
PAL9192,1992-01-09,TOR,22,83,29,59,8
PAL9192,1992-01-09,TOR,23,100,45,55,9
PAL9192,1992-01-09,TOR,23.1,18,7,11,2
PAL9293,1993-01-05,COR,1,4,1,3,0
PAL9293,1993-01-05,COR,2,70,29,41,0
PAL9293,1993-01-05,COR,3,34,14,22,0
PAL9293,1993-01-05,COR,4,14,3,11,0
PAL9293,1993-01-05,COR,5,100,24,76,0
PAL9293,1993-01-05,COR,5.1,100,26,74,0
PAL9293,1993-01-05,COR,6,80,28,52,0
PAL9293,1993-01-06,HUM,1.1,12,6,6,0
PAL9293,1993-01-06,HUM,1.2,23,6,17,0
PAL9293,1993-01-06,HUM,1.3,5,2,3,0
PAL9293,1993-01-06,HUM,2.1,107,23,82,0
PAL9293,1993-01-06,HUM,2.2,62,20,42,0
PAL9293,1993-01-06,HUM,3,100,20,80,0
PAL9293,1993-01-06,HUM,3.1,46,15,31,0
PAL9293,1993-01-06,HUM,4,88,26,62,0
PAL9293,1993-01-06,HUM,5,100,26,74,0
PAL9293,1993-01-06,LIT,1,8,6,2,0
PAL9293,1993-01-06,LIT,2,22,7,15,0
PAL9293,1993-01-06,LIT,4,17,4,13,0
PAL9293,1993-01-06,LIT,5,66,27,39,0
PAL9293,1993-01-06,LIT,6,89,43,46,0
PAL9293,1993-01-06,LIT,7,52,23,29,0
PAL9293,1993-01-06,LIT,8,90,29,61,0
PAL9293,1993-01-06,LIT,9,20,8,12,0
PAL9293,1993-01-06,TOR,1,100,37,63,0
PAL9293,1993-01-06,TOR,2,42,18,24,0
PAL9293,1993-01-06,TOR,3,19,10,9,0
PAL9293,1993-01-06,TOR,4,100,27,73,0
PAL9293,1993-01-06,TOR,5,100,25,75,0
PAL9293,1993-01-06,TOR,20,100,34,66,0
PAL9293,1993-01-06,TOR,21,100,19,81,0
PAL9293,1993-01-06,TOR,22,80,29,51,0
PAL9293,1993-01-06,TOR,23,100,37,63,0
PAL9293,1993-01-06,TOR,23.1,18,6,12,0
