studyName,"Sample Collection Date","Sample Number","Total Number",16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm
PAL9192,1992-01-15,91001,62,0,0,0,0,15,31,10,5,1,0
PAL9192,1992-01-15,91002,80,3,0,12,4,11,22,19,8,1,0
PAL9192,1992-01-15,91003,73,0,4,3,4,11,26,16,8,1,0
PAL9192,1992-01-15,91004,65,3,3,2,3,11,28,15,0,0,0
PAL9192,1992-01-15,91005,52,0,0,0,1,12,24,8,4,3,0
PAL9192,1992-01-20,91006,81,0,0,4,1,10,15,17,15,17,2
PAL9192,1992-01-20,91007,90,2,7,9,5,13,24,16,9,5,0
PAL9192,1992-01-20,91008,73,0,1,5,8,3,20,26,8,2,0
PAL9192,1992-01-20,91009,68,0,1,2,3,6,19,19,13,3,2
PAL9192,1992-01-20,91010,131,5,10,13,11,22,39,19,11,1,0
PAL9192,1992-01-25,91011,95,0,0,0,1,21,16,17,20,19,1
PAL9192,1992-01-25,91012,83,1,4,6,8,21,25,11,6,1,0
PAL9192,1992-01-25,91013,69,0,0,1,2,7,18,26,13,2,0
PAL9192,1992-01-25,91014,52,0,0,0,0,5,16,17,8,6,0
PAL9192,1992-01-25,91015,47,0,0,0,4,11,21,4,6,1,0
PAL9192,1992-01-30,91016,70,0,0,0,0,10,20,11,16,9,4
PAL9192,1992-01-30,91017,70,0,0,11,18,7,14,11,8,1,0
PAL9192,1992-01-30,91018,69,0,5,16,14,15,13,5,1,0,0
PAL9192,1992-01-30,91019,49,0,0,0,0,3,14,15,7,10,0
PAL9192,1992-01-30,91020,87,0,12,8,14,18,15,11,6,0,3
PAL9192,1992-02-04,91021,36,0,0,0,1,5,6,6,10,7,1
PAL9192,1992-02-04,91022,65,0,0,6,10,17,14,12,5,1,0
PAL9192,1992-02-04,91023,63,0,0,0,4,2,13,15,8,15,6
PAL9192,1992-02-04,91024,75,0,0,4,3,3,15,32,13,5,0
PAL9192,1992-02-04,91025,56,0,0,1,3,5,20,16,7,4,0
PAL9192,1992-02-09,91026,57,0,0,0,0,0,6,18,11,17,5
PAL9192,1992-02-09,91027,44,0,0,1,5,8,13,11,5,1,0
PAL9192,1992-02-09,91028,59,0,0,0,1,2,17,24,15,0,0
PAL9192,1992-02-09,91029,62,0,0,0,0,2,16,21,18,4,1
PAL9192,1992-02-09,91030,95,0,0,16,22,23,18,12,4,0,0
PAL9192,1992-02-14,91031,70,0,0,0,6,6,19,16,13,10,0
PAL9192,1992-02-14,91032,80,0,0,2,5,16,25,15,13,3,1
PAL9192,1992-02-14,91033,72,0,0,0,2,2,23,24,20,1,0
PAL9192,1992-02-14,91034,62,0,0,0,1,3,24,19,10,5,0
PAL9192,1992-02-14,91035,82,0,0,1,2,15,24,27,12,1,0
PAL9192,1992-02-19,91036,68,0,0,0,2,2,14,31,14,5,0
PAL9192,1992-02-19,91037,90,0,0,0,9,7,23,28,18,4,1
PAL9192,1992-02-19,91038,58,0,0,0,0,1,9,27,19,2,0
PAL9192,1992-02-19,91039,77,0,0,0,0,2,9,25,20,13,8
PAL9192,1992-02-19,91040,62,0,0,1,2,6,20,19,13,1,0
PAL9293,1993-01-11,92001,53,0,0,6,22,8,10,7,0,0,0
PAL9293,1993-01-11,92002,50,0,3,11,20,7,8,1,0,0,0
PAL9293,1993-01-11,92003,52,0,0,7,27,14,1,3,0,0,0
PAL9293,1993-01-11,92004,56,0,0,7,19,17,10,2,1,0,0
PAL9293,1993-01-11,92005,50,0,0,0,30,11,6,2,1,0,0
PAL9293,1993-01-19,92006,53,0,0,3,23,16,10,1,0,0,0
PAL9293,1993-01-19,92007,50,0,0,2,24,15,8,1,0,0,0
