site name,ccamlr region,longitude EPSG:4326,latitude EPSG:4326
Acuna Island,48.2,-44.637,-60.7612
Adams Island,58.4.1,92.5486,-66.5459
Akarui Point,58.4.2,41.3901,-68.4999
Alasheyev Bight,58.4.2,46.109,-67.654
Ambush Bay,48.1,-55.393,-63.184
Amphibolite Point,48.2,-45.339,-60.684
Anchorage Island,48.1,-68.2089,-67.6042
Andersen Island,58.4.2,63.3572,-67.4353
Andresen Island Site 1,48.1,-66.649,-66.879
Andresen Island Site 2,48.1,-66.711,-66.875
Ardley Island,48.1,-58.933,-62.213
Armstrong Reef,48.1,-66.2117,-65.8919
Arthurson Ridge,88.1,158.5109,-69.3634
Auster Islands,58.4.2,63.98,-67.39
Avian Island,48.1,-68.8855,-67.7732
Backer Islands,88.3,-102.5515,-74.4112
Balaena Islands,58.4.1,111.0688,-66.0158
Barcroft Islands,48.1,-67.1397,-66.4575
Beagle Island,48.1,-54.6675,-63.4139
Beaufort Island,88.1,166.8978,-76.9694
Beaufort Island North,88.1,166.881,-76.9288
Bechervaise Island,58.4.2,62.8167,-67.5833
Benten,58.4.2,39.25,-69.0417
Berkley/Cameron,58.4.1,110.64,-66.2163
Berthelot Islands (excl. Green Island),48.1,-64.112,-65.333
Biscoe Point,48.1,-63.7775,-64.8114
Blakeney/Whitney,58.4.1,110.5573,-66.2457
Bolingen/Lichen Island,58.4.2,75.7474,-69.456
Bongrain Point (Pourquoi Pas Island),48.1,-67.7319,-67.7233
Brash Island,48.1,-54.914167,-63.386389
Brattstrand Bluff,58.4.2,76.9995,-69.2157
Brown Bluff,48.1,-56.905,-63.5222
Brownson Islands,88.3,-103.636074,-74.168119
Buckle Island,88.1,163.2871,-66.8908
Cape Adare,88.1,170.1999,-71.3063
Cape Anne,88.1,169.85,-73.617
Cape Barne,88.1,166.24162,-77.578012
Cape Batterbee,58.4.2,53.8129,-65.842
Cape Bienvenue,58.4.1,140.5252,-66.7203
Cape Bird Middle,88.1,166.4187,-77.230393
Cape Bird North,88.1,166.44589,-77.214483
Cape Bird South,88.1,166.379444,-77.259444
Cape Bowles,48.1,-54.091,-61.316
Cape Burks,88.2,-136.829586,-74.750466
Cape Cornish (NE Buckle),88.1,163.2139,-66.7031
Cape Cotter,88.1,170.3122,-72.4045
Cape Crozier,88.1,169.32,-77.46
Cape Davis,88.1,163.5333,-66.65
Cape Denison,58.4.1,142.6647,-67.0072
Cape Evensen (mainland),48.1,-65.683,-66.164
Cape Evensen (offshore rocks),48.1,-65.720454,-66.157904
Cape Hallett,88.1,170.2142,-72.3179
"Cape Hansen, Coronation Island",48.2,-45.584,-60.659
Cape Hinode,58.4.2,42.6612,-68.1453
Cape Hunter,58.4.1,142.349,-66.963
Cape Jones,88.1,169.2272,-73.2762
Cape Jules,58.4.1,140.9189,-66.7438
Cape Nutt,58.4.1,108.2127,-66.6352
Cape Omega,58.4.2,40.9833,-68.5667
Cape Phillips,88.1,169.6168,-73.0714
Cape Pigeon Rocks,58.4.1,143.894,-66.9334
Cape Royds,88.1,166.1639,-77.5545
Cape Waites,88.3,-103.451,-72.713
