studyname,col_2631,col_2632,col_2630,col_2633,col_2634,col_2635,col_2636,col_2637,col_2638,col_2639,col_2640,col_2641,col_2642
PD93-01,1993,9.353,18,600,40,-64.9333,-64.4,424.97,0,3.92,0,0,
PD93-01,1993,9.702,27,600,60,-64.8146,-64.7166,249.05,0,1.4,0,0,
PD93-01,1993,9.865,33,600,80,-64.6953,-65.0304,2.08,0,0.52,2.08,0,
PD93-01,1993,10.207,43,600,100,-64.5753,-65.3414,0.48,3.63,37.72,0.24,0.24,
PD93-01,1993,10.346,50,600,120,-64.4546,-65.6497,0.26,0,1.82,0,0,
PD93-01,1993,10.592,59,600,140,-64.3333,-65.9553,0.6,0,0.8,0,0,
PD93-01,1993,10.771,66,600,160,-64.2114,-66.2582,24.37,0,0,0,0,
PD93-01,1993,11.049,74,600,180,-64.0889,-66.5584,8.7,-999,-999,-999,-999,
PD93-01,1993,11.247,83,600,200,-63.9658,-66.856,0,39.5,1.96,8.96,17.09,
PD93-01,1993,12.498,115,600,180,-64.0889,-66.5584,5.66,0,299.91,52.78,0,
PD93-01,1993,13.063,128,500,180,-64.7356,-67.9955,24.44,0,67.89,20.37,2.26,
PD93-01,1993,13.261,136,500,160,-64.8611,-67.6949,0,0,28.96,2.94,34.17,
PD93-01,1993,13.394,140,500,140,-64.9859,-67.3914,50.71,0.28,34.74,6.44,0,
PD93-01,1993,13.601,149,500,120,-65.1102,-67.0851,0.52,0,1.56,4.41,0,
PD93-01,1993,13.882,158,500,100,-65.2338,-66.776,18.49,0,33.9,0,0,
PD93-01,1993,14.065,166,500,80,-65.3568,-66.4639,0.73,0,14.26,0,0,
PD93-01,1993,14.238,172,500,60,-65.4792,-66.1489,200.86,0,218.51,0,0,
PD93-01,1993,25.923,643,600,30,-64.9924,-64.2407,0.33,0,65.38,0,0,
PD93-01,1993,25.966,644,595,30,-65.0262,-64.3105,955.27,0,0,0,0,
PD93-01,1993,26.012,645,595,35,-64.9967,-64.3903,0.63,0,2.1,0.11,0,
PD93-01,1993,26.039,646,595,35,-64.9967,-64.3903,0.77,0,1.93,0,0,
PD93-01,1993,27.899,677,400,60,-66.1291,-67.6552,0.97,0,314.31,0.24,12.81,
PD93-01,1993,28.842,706,400,80,-66.0036,-67.9707,69.98,0,0.61,0.61,0.3,
PD93-01,1993,29.097,718,400,100,-65.8776,-68.283,9900.86,0,0,0,0,
PD93-01,1993,29.252,721,400,120,-65.7509,-68.5923,0,0,9.6,0.52,6.23,
PD93-01,1993,29.718,742,400,160,-65.4957,-69.2019,16.2,0,24.66,15.72,0,
PD93-01,1993,30.755,774,400,180,-65.3672,-69.5022,15.83,0,389.33,5.97,0,
PD93-01,1993,31.038,784,400,200,-65.2382,-69.7996,10.64,0.78,131.33,39.19,0,
PD93-01,1993,31.297,790,300,200,-65.8501,-71.3783,383.79,0,1680.85,0,0,
PD93-01,1993,31.5,803,300,180,-65.9823,-71.0822,31.66,0,875.44,6.16,0,
PD93-01,1993,31.794,812,300,160,-66.1138,-70.783,99.89,0,60.93,0,0,
PD93-01,1993,32.017,822,300,140,-66.2448,-70.4807,16.35,0,2.34,0.52,0,
PD93-01,1993,32.26,830,300,120,-66.3753,-70.1753,0,0,62.47,36.14,11.77,
PD93-01,1993,32.477,838,300,100,-66.5052,-69.8667,405.22,0,1.69,0,0,
PD93-01,1993,32.772,848,300,80,-66.6344,-69.5548,0.84,0,1.12,5.6,0,
PD93-01,1993,32.866,853,300,60,-66.7631,-69.2397,2586.83,0,172.57,0,49.3,
PD93-01,1993,33.094,863,300,40,-66.8912,-68.9213,7.3,0,456.42,4.26,365.14,
PD93-01,1993,33.708,870,200,200,-66.4442,-73.0329,2.74,0,67.85,0.3,0,
PD93-01,1993,33.973,880,200,160,-66.7142,-72.442,36.51,0,26.78,0,0,
PD93-01,1993,34.11,888,200,120,-66.9821,-71.838,0,0,29.26,0,0,
PD93-01,1993,34.251,894,200,80,-67.2477,-71.2207,0,0,9.34,0,0,
PD93-01,1993,34.406,900,200,40,-67.5111,-70.5896,736.79,0,10.86,0,74.45,
PD93-01,1993,35.568,906,380,10,-66.737,-67.5797,2.74,0,3.22,0,1.07,
PD94-01,1994,12.425,12,500,60,-65.4792,-66.1489,0.25,0,8414.36,0,0.49,
PD94-01,1994,12.944,27,500,80,-65.3568,-66.4639,30.23,3.84,136.5,0.23,0,
PD94-01,1994,13.431,34,500,100,-65.2338,-66.776,0.44,95.46,274.1,16.24,0,
PD94-01,1994,13.783,46,500,120,-65.1102,-67.0851,1.58,1.4,6916.88,8.24,0,
PD94-01,1994,14.388,52,500,140,-64.9859,-67.3914,0.72,9.65,5.79,68.79,0,
PD94-01,1994,14.668,63,500,160,-64.8611,-67.6949,28.43,0,4879.03,58.96,0,
PD94-01,1994,14.765,70,500,180,-64.7356,-67.9955,28.11,4.36,73.85,6.28,0,
PD94-01,1994,14.896,77,500,200,-64.6096,-68.2934,26.29,0,743.8,16.19,0,
