,studyName,Date,Island,Colony,Time,Sample Number,Bird Weight (g),Sex,Culmen Length (mm),Culmen Depth (mm),Sample Weight (g),E. superba Weight (g),Number of E. superba,T. macrura Weight (g),Number of T. macrura,Fish Weight (g),Number of Fish,year,month
0,PAL9293,1993-01-11,TOR,12,1700,92001,4600,M,39.5,18.4,439.0,624.0,1376,0.0,0,0.0,0,1993,1
1,PAL9293,1993-01-11,TOR,12,1700,92002,3950,F,33.5,17.6,212.0,390.0,650,0.0,0,0.0,0,1993,1
2,PAL9293,1993-01-11,TOR,12,1700,92003,4000,M,36.0,17.4,220.0,466.0,645,0.0,0,0.0,0,1993,1
3,PAL9293,1993-01-11,TOR,12,1700,92004,4950,M,39.3,20.6,247.0,350.0,569,0.0,0,0.0,0,1993,1
4,PAL9293,1993-01-11,TOR,12,1700,92005,4000,F,35.1,16.2,113.0,141.0,329,0.0,0,0.0,0,1993,1
5,PAL9293,1993-01-19,TOR,12,1700,92006,4100,F,37.4,17.2,157.0,157.0,547,0.0,0,0.0,0,1993,1
6,PAL9293,1993-01-19,TOR,12,1700,92007,5150,M,41.4,18.5,207.0,207.0,759,0.0,0,0.0,0,1993,1
7,PAL9293,1993-01-19,TOR,12,1700,92008,4750,F,38.7,18.1,350.0,350.0,1203,0.0,0,0.0,0,1993,1
8,PAL9293,1993-01-19,TOR,12,1700,92009,4300,F,35.6,17.0,171.0,171.0,617,0.0,0,0.0,0,1993,1
9,PAL9293,1993-01-19,TOR,12,1700,92010,4650,M,43.7,19.5,187.0,187.0,556,0.0,0,0.0,0,1993,1
10,PAL9293,1993-01-23,TOR,23,1730,92011,5200,F,34.5,18.5,246.0,297.0,1025,0.0,0,0.0,0,1993,1
11,PAL9293,1993-01-23,TOR,23,1730,92012,5200,M,39.7,19.1,216.0,216.0,888,0.0,0,0.0,0,1993,1
12,PAL9293,1993-01-23,TOR,23,1730,92013,4850,M,37.8,18.4,140.0,174.0,514,0.0,0,0.0,0,1993,1
