Island,Colony,Site Number,Nest Number,Egg Lay Date,Egg Loss Date,Chick Hatch Date,Chick Loss Date,Chick Creche Date,Year
HUM,2.0,2,2,39,87,0,0,0,1993
HUM,2.0,3,1,41,65,0,0,0,1993
HUM,2.0,4,2,38,56,0,0,0,1993
HUM,3.0,3,2,49,0,89,0,112,1993
HUM,2.0,1,4,47,80,0,0,0,1995
HUM,2.0,6,5,49,0,86,0,105,1995
HUM,2.0,10,5,44,0,81,0,104,1995
HUM,3.0,3,1,61,-1,0,0,0,1995
HUM,4.0,2,1,50,0,87,0,106,1995
HUM,2.0,1,1,41,-1,0,0,0,1996
HUM,2.0,5,4,46,51,0,0,0,1996
HUM,2.2,1,3,44,46,0,0,0,1996
HUM,3.0,2,4,50,0,98,0,105,1996
HUM,1.1,4,4,48,53,0,0,0,1997
HUM,1.3,3,2,47,80,0,0,0,1997
HUM,1.3,3,4,48,58,0,0,0,1997
HUM,2.0,13,4,41,0,78,0,115,1997
HUM,3.0,3,3,43,45,0,0,0,1997
HUM,3.0,8,1,41,0,77,0,113,1997
HUM,3.1,2,5,47,62,0,0,0,1997
HUM,5.0,1,3,45,48,0,0,0,1997
HUM,2.0,3,2,52,0,87,0,114,1998
HUM,4.0,3,2,52,0,85,0,114,1998
HUM,5.0,4,3,52,0,80,0,114,1998
HUM,2.0,H3,1,47,53,0,0,0,1999
HUM,2.0,H6,2,47,0,77,0,107,1999
HUM,2.0,L5,2,53,0,73,77,0,1999
HUM,2.0,L6,5,47,0,77,0,110,1999
HUM,2.0,U1,2,39,0,76,84,0,2000
HUM,2.0,U4,1,45,51,0,0,0,2000
HUM,2.0,U4,2,45,74,0,0,0,2000
HUM,2.0,U4,4,41,0,78,0,116,2000
HUM,2.0,U5,5,38,0,75,0,116,2000
HUM,3.0,02,4,43,0,80,0,110,2000
HUM,2.0,4,5,41,0,77,0,110,2001
HUM,2.0,11,3,38,0,76,0,110,2001
HUM,2.0,2,2,50,0,82,89,0,2002
HUM,2.0,4,4,50,52,0,0,0,2002
HUM,2.0,6,5,50,0,87,0,113,2002
HUM,2.0,7,2,51,0,89,0,109,2002
HUM,2.0,7,4,51,0,83,0,111,2002
HUM,2.0,8,4,55,57,0,0,0,2002
HUM,2.0,12,2,50,52,0,0,0,2002
HUM,4.0,14,1,51,62,0,0,0,2002
HUM,4.0,14,3,52,64,0,0,0,2002
HUM,3.0,16,1,50,57,0,0,0,2002
HUM,5.0,17,3,50,57,0,0,0,2002
HUM,5.0,17,4,51,0,86,0,113,2002
HUM,2.0,5,1,49,0,77,0,117,2003
HUM,2.0,1,1,47,0,80,82,0,2004
HUM,2.0,3,3,52,0,81,0,107,2004
HUM,2.0,5,4,60,0,92,107,0,2004
HUM,3.0,10,1,49,69,0,0,0,2004
HUM,2.0,2,1,49,54,0,0,0,2005
HUM,2.0,2,3,49,54,0,0,0,2005
HUM,3.0,09,2,54,83,0,0,0,2005
HUM,2.0,1,1,49,0,83,93,0,2006
HUM,2.0,4,5,49,-1,0,0,0,2006
HUM,2.0,5,1,49,64,0,0,0,2006
HUM,2.2,7,5,48,0,83,0,109,2006
HUM,3.0,9,5,49,83,0,0,0,2006
HUM,2.0,6,1,40,0,77,0,110,2007
HUM,2.0,2,4,47,0,82,0,118,2008
HUM,2.0,4,3,49,0,82,0,123,2010
HUM,2.0,6,1,52,69,0,0,0,2010
HUM,2.0,1,2,46,0,79,0,119,2011
HUM,2.0,1,5,46,0,81,0,119,2011
HUM,2.0,2,2,44,0,78,0,119,2011
HUM,2.0,2,4,44,0,79,0,116,2011
HUM,2.0,6,1,49,69,0,0,0,2013
HUM,2.0,1,2,53,73,0,0,0,2014
HUM,2.0,1,3,53,0,85,0,108,2014
HUM,2.0,2,1,53,0,85,0,108,2014
HUM,2.0,3,2,53,73,0,0,0,2014
HUM,2.0,1,1,45,69,0,0,0,2018
HUM,2.0,1,1,44,0,79,0,107,1992
HUM,2.0,1,2,49,0,85,0,111,1992
HUM,2.0,1,3,46,0,82,0,107,1992
HUM,2.0,1,4,49,0,85,0,111,1992
HUM,2.0,1,5,45,0,79,0,111,1992
HUM,2.0,2,3,48,0,87,93,0,1992
HUM,2.0,2,4,46,0,0,0,0,1992
HUM,2.0,3,1,51,0,88,0,116,1992
HUM,2.0,3,2,46,0,83,0,111,1992
HUM,2.0,3,3,48,0,82,0,109,1992
HUM,2.0,3,4,48,0,85,0,111,1992
HUM,2.0,3,5,50,0,87,0,112,1992
HUM,2.0,4,1,49,0,86,0,116,1992
HUM,2.0,4,2,49,0,86,0,116,1992
HUM,2.0,4,3,49,0,85,0,116,1992
HUM,2.0,4,4,50,0,87,0,111,1992
HUM,2.0,4,5,53,0,90,0,117,1992
HUM,2.0,5,1,53,0,90,0,116,1992
HUM,2.0,5,2,54,0,91,0,117,1992
HUM,2.0,5,3,43,0,80,0,117,1992
HUM,2.0,5,4,46,0,82,0,117,1992
HUM,2.0,5,5,49,0,88,0,116,1992
HUM,2.0,6,1,54,59,0,0,0,1992
HUM,2.0,6,2,44,0,81,0,116,1992
HUM,2.0,6,3,46,0,81,0,113,1992
HUM,2.0,6,4,43,0,85,0,118,1992
HUM,2.0,6,5,48,0,85,0,113,1992
HUM,2.0,7,1,46,0,83,0,120,1992
HUM,2.0,7,2,46,0,83,0,107,1992
HUM,2.0,7,3,46,0,83,0,109,1992
HUM,2.0,7,4,47,0,83,0,109,1992
HUM,2.0,7,5,44,0,81,0,109,1992
HUM,2.0,8,1,45,0,81,0,111,1992
HUM,2.0,8,2,47,0,84,0,108,1992
HUM,2.0,8,3,46,0,86,0,112,1992
HUM,2.0,8,4,43,0,81,0,112,1992
HUM,2.0,8,5,44,0,81,0,111,1992
HUM,2.0,9,1,44,0,0,0,0,1992
HUM,2.0,9,2,46,0,0,0,0,1992
HUM,2.0,9,3,43,0,0,0,0,1992
HUM,2.0,9,4,43,0,0,0,0,1992
HUM,2.0,9,5,42,0,0,0,0,1992
HUM,2.0,10,1,52,0,88,111,0,1992
HUM,2.0,10,2,52,87,0,0,0,1992
HUM,2.0,10,3,52,0,89,0,113,1992
HUM,2.0,10,4,45,0,83,0,116,1992
HUM,2.0,10,5,53,0,90,0,116,1992
HUM,2.0,10,6,48,0,85,0,112,1992
HUM,2.2,1,1,52,0,89,0,116,1992
HUM,2.2,1,2,53,0,90,0,116,1992
HUM,2.2,1,3,52,0,89,0,117,1992
HUM,2.2,1,4,52,63,0,0,0,1992
HUM,2.2,1,5,47,0,86,0,119,1992
HUM,3.0,1,1,52,0,89,0,116,1992
HUM,3.0,1,2,49,107,0,0,0,1992
HUM,3.0,1,3,46,0,85,0,116,1992
HUM,3.0,1,4,51,0,88,0,118,1992
HUM,3.0,1,5,51,0,88,0,118,1992
HUM,3.0,2,1,51,83,0,0,0,1992
HUM,3.0,2,2,50,0,87,0,120,1992
HUM,3.0,2,3,49,0,86,0,120,1992
HUM,3.0,2,4,47,0,85,0,117,1992
HUM,3.0,2,5,49,0,86,0,118,1992
HUM,3.0,3,1,53,0,90,0,117,1992
HUM,3.0,3,2,49,0,86,0,118,1992
HUM,3.0,3,3,49,0,86,0,117,1992
HUM,3.0,3,4,50,0,87,0,117,1992
HUM,3.0,3,5,56,0,93,0,119,1992
HUM,3.1,1,1,50,0,87,0,116,1992
HUM,3.1,1,2,51,0,88,0,116,1992
HUM,3.1,1,3,54,0,91,0,119,1992
HUM,3.1,1,4,53,0,90,0,116,1992
HUM,3.1,1,5,54,0,91,0,116,1992
HUM,4.0,1,1,51,0,88,109,0,1992
HUM,4.0,1,2,49,0,85,0,112,1992
HUM,4.0,1,3,50,0,87,0,118,1992
HUM,4.0,1,4,51,0,88,0,118,1992
HUM,4.0,1,5,52,0,89,0,118,1992
HUM,4.0,2,1,52,0,89,0,113,1992
HUM,4.0,2,2,52,0,89,0,116,1992
HUM,4.0,2,3,53,0,90,0,117,1992
HUM,4.0,2,4,53,63,0,0,0,1992
HUM,4.0,2,5,48,0,87,0,111,1992
HUM,5.0,1,1,55,0,92,0,119,1992
HUM,5.0,1,2,49,0,85,0,112,1992
HUM,5.0,1,3,47,0,83,0,116,1992
HUM,5.0,1,4,49,0,86,0,116,1992
HUM,5.0,1,5,54,0,91,0,117,1992
HUM,5.0,2,1,45,0,84,0,111,1992
HUM,5.0,2,2,48,0,89,0,116,1992
HUM,5.0,2,3,52,0,85,0,111,1992
HUM,5.0,2,4,53,0,90,0,117,1992
HUM,5.0,2,5,46,0,83,0,117,1992
HUM,5.0,2,6,48,0,85,0,116,1992
